index,time_ms,state,fault,gyro_mrad_s,yaw_mrad,speed_mm_s,correction_mrad_s,distance_mm,temp_mC,fl_mrad_s,fr_mrad_s,rl_mrad_s,rr_mrad_s,can_tx_errors,can_bus_offs,cross_mm,cross_cmd_mm_s,cross_speed_mm_s,event
272786,4,0,0,6.196,0.062,20,-1.859,0,52750,-50.837,50.837,-50.837,50.837,0,0,0,0,0,0
273036,4,0,1,210.727,9.052,520,-97.941,62.447,52750,-9710.118,9608.444,10320.18,-10421.855,0,0,-0.051,0.391,-1.991,0
273286,4,0,2,14.718,62.565,1020,-316.502,255.021,52750,-19572.763,17030.842,21199.585,-23741.505,0,0,-0.588,1.105,-0.307,0
273536,4,0,3,254.403,81.35,1019.838,-470.349,552.366,52750,-20894.56,17437.555,23131.43,-26588.449,0,0,-0.787,1.911,-3.299,0
273786,4,0,4,0.87,85.796,519.839,-429.198,760.404,52750,-9608.444,7574.911,13573.836,-15607.37,0,0,-0.584,0.903,0.989,0
273866,4,0,5,43.481,90.02,0,-460.972,799.525,52750,0,0,0,0,0,0,-0.565,0,0.726,1
273876,4,0,6,21.11,90.231,0,-350,799.525,52750,-5439.702,3914.542,10320.18,-11845.341,0,0,-0.54,0.601,2.471,0
273936,4,0,7,3,90.422,0,-350,799.525,52750,0,0,0,0,0,0,0.062,0,20.751,2
273946,4,0,8,1.935,90.441,0,-38,799.525,52750,50.837,-1270.96,4931.315,-6354.801,0,0,0,0,0,0
274196,4,0,9,0.87,90.627,0,-199.534,799.525,52750,1372.635,-1372.635,1372.635,-1372.635,0,0,0,0,0,0
274446,4,0,10,-40.675,87.178,0,-184.551,799.525,52750,1270.96,-1270.96,1270.96,-1270.96,0,0,0,0,0,0
274696,4,0,11,-36.414,79.97,0,-169.453,799.525,52750,1169.272,-1169.272,1169.272,-1169.272,0,0,0,0,0,0
274946,4,0,12,-32.153,71.623,0,-151.848,799.525,52750,1067.597,-1067.597,1067.597,-1067.597,0,0,0,0,0,0
275196,4,0,13,-10.848,66.951,0,-145.361,799.525,52750,965.936,-965.936,965.936,-965.936,0,0,0,0,0,0
275446,4,0,14,-2.326,64.932,0,-142.435,799.525,52750,965.936,-965.936,965.936,-965.936,0,0,0,0,0,0
275696,4,0,15,-3.391,63.626,0,-139.373,799.525,52750,965.936,-965.936,965.936,-965.936,0,0,0,0,0,0
275946,4,0,16,-1.261,62.362,0,-136.973,799.525,52750,864.262,-864.262,965.936,-864.262,0,0,0,0,0,0
276196,4,0,17,-1.261,60.556,0,-132.999,799.525,52875,864.262,-864.262,864.262,-864.262,0,0,0,0,0,0
276446,4,0,18,-10.848,58.941,0,-127.74,799.525,52875,864.262,-864.262,864.262,-864.262,0,0,0,0,0,0
276696,4,0,19,-18.305,57.657,0,-123.586,799.525,52875,864.262,-864.262,864.262,-864.262,0,0,0,0,0,0
276946,4,0,20,5.131,54.391,0,-120.573,799.525,52875,762.573,-762.573,762.573,-762.573,0,0,0,0,0,0
277196,4,0,21,-7.652,54.012,0,-117.464,799.525,52875,762.573,-762.573,762.573,-762.573,0,0,0,0,0,0
277446,4,0,22,-25.762,50.373,0,-106.235,799.525,52875,660.899,-660.899,660.899,-660.899,0,0,0,0,0,0
277696,4,0,23,-27.892,44.444,0,-92.812,799.525,52875,559.224,-559.224,559.224,-559.224,0,0,0,0,0,0
277946,4,0,24,-31.088,38.845,0,-79.925,799.525,52875,559.224,-559.224,559.224,-559.224,0,0,0,0,0,0
278196,4,0,25,1.935,36.442,0,-80.517,799.525,52875,559.224,-559.224,559.224,-559.224,0,0,0,0,0,0
278446,4,0,26,-12.978,36.137,0,-77.192,799.525,52875,457.536,-457.536,457.536,-457.536,0,0,0,0,0,0
278696,4,0,27,-0.195,36.216,0,-79.641,799.525,52875,559.224,-559.224,559.224,-559.224,0,0,0,0,0,0
278946,4,0,28,-0.195,36.445,0,-80.143,799.525,52875,559.224,-559.224,559.224,-559.224,0,0,0,0,0,0
279196,4,0,29,-2.326,36.385,0,-79.633,799.525,52875,457.536,-457.536,457.536,-457.536,0,0,0,0,0,0
279446,4,0,30,-3.391,36.123,0,-78.867,799.525,52875,559.224,-559.224,559.224,-559.224,0,0,0,0,0,0
279696,4,0,31,-0.195,36.873,0,-81.087,799.525,52875,559.224,-559.224,559.224,-559.224,0,0,0,0,0,0
279975,7,7,32,-179.16,22.447,0,-17.494,799.525,52875,0,0,0,0,0,0,0,0,0,20
